id,syd
1,38
8,38
36,38
1,68
34,68
1,106
41,106
1,171
34,171
36,171
1,172
16,172
19,172
44,172
59,172
62,172
2,12
18,12
19,12
22,12
29,12
48,12
49,12
2,48
8,48
11,48
22,48
2,82
8,82
11,82
17,82
19,82
37,82
57,82
58,82
62,82
63,82
2,88
8,88
19,88
2,93
8,93
11,93
19,93
37,93
2,124
46,124
2,18
6,18
7,18
18,18
22,18
23,18
27,18
29,18
34,18
42,18
49,18
2,25
18,25
2,67
5,67
27,67
34,67
36,67
59,67
63,67
2,188
11,188
16,188
18,188
19,188
22,188
48,188
3,2
15,2
25,2
29,2
33,2
42,2
3,90
22,90
3,174
13,174
25,174
42,174
58,174
63,174
3,1
15,1
25,1
27,1
3,6
4,6
5,6
25,6
27,6
29,6
31,6
3,11
21,11
22,11
27,11
34,11
36,11
3,13
13,13
19,13
49,13
3,29
25,29
27,29
3,33
13,33
25,33
39,33
3,44
25,44
27,44
3,79
23,79
25,79
36,79
49,79
4,22
31,22
4,31
4,34
31,34
44,34
4,37
15,37
4,45
4,73
4,165
8,165
4,116
8,116
4,5
31,5
4,46
31,46
4,54
14,54
22,54
23,54
4,180
25,180
27,180
51,180
4,191
5,91
5,110
18,110
27,110
49,110
5,173
7,173
27,173
63,173
5,10
27,10
5,14
27,14
34,14
36,14
37,14
38,14
40,14
5,176
27,176
40,176
5,179
27,179
40,179
5,175
27,175
40,175
6,66
17,66
18,66
22,66
42,66
6,70
18,70
22,70
23,70
64,70
6,74
22,74
6,78
11,78
23,78
6,77
23,77
6,97
22,97
38,97
52,97
6,108
18,108
43,108
49,108
6,109
9,109
6,160
22,160
35,160
42,160
48,160
49,160
63,160
6,164
8,164
11,164
23,164
6,166
9,166
19,166
35,166
42,166
48,166
49,166
49,166
6,170
11,170
6,35
22,35
23,35
29,35
34,35
36,35
6,187
16,187
49,187
6,189
22,189
38,189
52,189
7,9
27,9
7,185
7,190
49,190
8,28
57,28
8,47
9,47
19,47
31,47
8,87
9,87
11,87
20,87
42,87
42,87
8,119
16,119
20,119
42,119
8,122
23,122
24,122
34,122
8,127
19,127
31,127
8,132
9,132
19,132
21,132
42,132
8,142
49,142
51,142
8,113
9,113
8,15
8,154
47,154
8,155
18,155
37,155
49,155
8,162
11,162
8,161
11,161
8,115
11,115
49,115
8,163
11,163
49,163
8,167
9,49
9,105
9,107
20,107
62,107
9,118
21,118
58,118
9,123
11,123
19,123
9,133
11,133
19,133
49,133
9,8
36,8
9,3
9,184
19,184
28,184
9,181
11,181
12,181
25,181
49,181
56,181
60,181
10,63
34,63
41,63
10,104
27,104
34,104
38,104
40,104
41,104
11,101
11,30
25,30
39,30
11,56
17,56
11,129
20,129
11,145
43,145
44,145
47,145
49,145
11,146
43,146
44,146
47,146
49,146
11,137
43,137
44,137
47,137
49,137
11,151
43,151
44,151
47,151
49,151
11,152
43,152
44,152
47,152
49,152
11,168
49,168
54,168
11,169
49,169
54,169
11,193
12,193
28,193
49,193
56,193
60,193
11,183
12,183
16,183
18,183
29,183
56,183
12,19
35,19
55,19
12,40
25,40
49,40
12,53
23,53
49,53
58,53
62,53
12,57
19,57
28,57
29,57
49,57
13,60
30,60
32,60
57,60
13,75
28,75
57,75
13,139
28,139
49,139
14,55
14,72
16,36
16,130
19,130
28,130
49,130
50,130
16,138
16,192
23,192
49,192
51,192
55,192
17,80
18,80
17,111
61,111
63,111
64,111
17,85
18,85
22,85
49,85
64,85
18,4
49,4
59,4
18,86
19,39
19,16
19,134
49,134
59,134
19,136
49,136
59,136
20,7
24,7
62,7
20,52
34,52
21,26
22,26
27,26
34,26
36,26
42,26
58,26
21,27
26,27
37,27
38,27
53,27
22,32
47,32
22,89
27,89
22,95
34,95
41,95
22,103
35,103
38,103
42,103
43,103
22,186
23,23
34,23
23,128
23,131
23,41
49,41
24,64
25,64
24,65
25,58
33,58
39,58
25,100
27,98
27,114
41,114
27,117
36,117
27,159
28,135
44,135
60,135
28,140
49,140
31,43
46,43
31,83
31,143
31,153
31,157
33,61
39,61
33,42
44,42
47,42
51,42
33,76
57,76
33,182
34,24
34,156
34,20
34,21
36,21
34,69
36,69
34,84
36,84
34,177
35,92
42,92
35,94
38,94
36,112
52,112
38,17
42,17
49,17
41,51
61,51
62,51
42,50
43,120
43,125
43,144
44,144
47,144
49,144
43,147
44,147
47,147
49,147
43,148
44,148
47,148
49,148
43,149
44,149
47,149
49,149
43,150
44,150
47,150
49,150
43,62
44,62
45,62
47,62
49,62
44,126
47,126
44,158
45,102
46,59
47,99
47,178
48,96
49,71
55,81
59,121
59,121
63,141
