did,syd,primary
1,34,
1,63,
1,92,
1,147,
1,148,
2,12,
2,17,
2,24,
2,44,
2,62,
2,75,
2,80,2
2,84,
2,107,
2,163,
3,1,
3,2,
3,6,
3,11,
3,13,
3,27,
3,30,
3,40,
3,73,
3,81,
3,150,1
4,6,
4,5,
4,21,
4,39,
4,31,
4,33,
4,41,
4,42,
4,50,
4,67,
4,101,
4,135,
4,155,
4,166,
5,62,
5,6,
5,10,
5,14,
5,82,
5,96,
5,149,
5,151,
5,152,1
5,154,
6,17,
6,32,
6,32,
6,61,
6,65,
6,68,
6,71,
6,72,
6,94,
6,95,
6,138,
6,142,
6,143,
6,146,
6,162,
6,164,
7,17,
7,149,
7,9,
7,160,
7,165,
8,95,
8,143,
8,3,
8,8,
8,43,
8,79,
8,91,
8,93,
8,99,
8,103,
8,106,
8,115,
8,156,
8,159,
9,92,1
9,59,
9,134,
9,25,
10,44,
10,75,
10,84,
10,163,
10,72,
10,142,
10,146,
10,79,
10,106,
10,115,
10,156,
10,28,
10,52,
10,88,
10,100,
10,112,
10,119,
10,124,
10,129,
10,130,
10,139,
10,140,
10,141,
10,144,
10,145,
10,158,
10,168,1
11,156,
11,158,
11,168,1
11,18,
11,36,
11,49,
11,53,
12,13,
12,30,
12,150,
12,56,
12,69,
12,45,
12,120,
13,50,
13,51,
13,66,
14,1,
14,2,
14,33,
14,56,
15,162,
15,79,
15,158,
15,133,
15,113,
15,55,
15,167,
16,75,
16,61,
16,52,
16,74,
16,78,
16,97,
17,12,
17,17,
17,24,
17,163,
17,96,
17,61,
17,65,
17,94,
17,158,
17,133,
17,74,
17,78,
17,4,
18,148,
18,75,
18,80,
18,13,
18,43,
18,106,
18,53,
18,113,
18,15,
18,35,
18,110,
18,116,
18,118,
19,79,
19,93,
19,112,
19,7,
19,48,
20,11,
20,103,
20,25,1
20,25,
20,133,
21,12,
21,17,
21,44,
21,11,
21,50,
21,32,
21,25,
21,161,
22,17,
22,73,
22,50,
22,32,1
22,65,
22,71,
22,72,
22,142,
22,49,
22,167,
22,22,
22,37,
22,105,
22,111,
22,114,
23,25,
23,7,
23,105,
23,90,2
24,2,
24,6,
24,27,
24,30,
24,40,1
24,73,
24,150,
24,155,
24,156,
24,28,
24,36,
24,54,
24,60,
24,87,
25,62,
25,11,
25,27,
25,10,
25,14,
25,149,
25,151,
25,152,
25,154,
25,25,
25,102,
25,137,
26,159,
26,53,
26,69,
26,120,
26,113,
26,121,
27,12,
27,17,
27,2,
27,6,
27,32,
27,158,
28,6,
28,5,
28,21,
28,39,
28,31,
28,42,
28,135,
28,43,
28,110,
28,76,
28,123,
28,131,
29,2,
29,54,
29,38,
29,57,
29,70,
29,157,
30,63,1
30,62,
30,14,
30,32,
30,59,
30,134,
30,25,
30,22,
30,19,
30,20,
30,23,
30,64,
30,77,
31,34,
31,147,
31,62,
31,11,
31,73,
31,14,
31,32,
31,8,
31,25,
31,102,
31,20,
31,64,
31,77,
31,98,
32,75,
32,84,
32,14,
32,25,
32,133,
33,14,
33,32,
33,25,
33,16,
34,30,
34,54,
34,57,
35,92,
35,14,
35,151,
35,152,
35,154,
36,92,
36,47,
37,17,
37,2,
37,150,
37,61,
37,138,
37,143,
37,79,
37,79,
37,25,
37,16,
37,46,
37,83,
38,94,
38,119,
38,124,
38,129,
38,130,
38,58,
38,104,
38,108,
38,125,
38,126,
38,127,
38,128,
39,148,
39,31,
39,119,
39,124,
39,129,
39,130,
39,38,
39,58,
39,125,
39,126,
39,127,
39,128,
39,109,
39,117,
39,136,
40,58,
40,89,
41,107,
41,39,
41,55,
42,119,
42,124,
42,129,
42,130,
42,38,
42,58,
42,125,
42,126,
42,127,
42,128,
42,109,
42,29,
42,86,1
42,132,
42,153,
43,12,
43,163,
43,138,
43,143,
43,85,
44,120,
44,113,
45,32,
45,164,
45,25,
45,97,
45,98,
46,11,
46,39,1
46,25,1
47,144,
47,145,
48,156,
48,158,
48,168,
49,75,
49,56,
49,69,
49,70,
49,26,
50,75,
50,150,
50,103,
50,25,
50,49,
51,97,
51,47,
52,148,
52,75,
52,93,
52,49,
52,7,
52,47,
53,62,
53,75,
53,150,
53,149,
53,138,
53,97,
53,122,
54,65,
54,78,
54,97,
