syd,symptom
1,Upper abdominal pain
2,Lower abdominal pain
3,Alcohol abuse
4,Anxiety (Nervousness)
5,Arm ache or pain
6,Back ache or pain
7,Bleeding tendency
8,Blood in vomit
9,Pain or soreness of breast
10,Chest pressure
11,Chills
12,Change in behavior
13,Constipation
14,Cough
15,Dark stools
16,Depressed
17,Diarrhea
18,Dizziness
19,Double vision (Diplopia)
20,Ear pressure
21,Pain in the ear
22,Elbow ache or pain
23,Eye pain (Irritation)
24,Facial pain
25,Fainting
26,Fever
27,Fever in the returning traveler
28,Fever of unknown origin
29,Flank pain
30,Frequent urination (Frequency)
31,
32,"Cranky, crying, fussy, irritable child"
33,Groin pain
34,"Hand, finger ache or pain"
35,Headache
36,
37,Hip pain
38,Hoarse voice
39,Hypothermia (Low temperature)
40,Incontinence (leaking urine)
41,Insomnia (Trouble sleeping)
42,Skin itching
43,Joint pain
44,Kidney pain (Flank pain)
45,Knee pain
46,Leg ache or pain
47,Swelling of both legs
48,Lethargy (Sluggishness)
49,
50,Mouth pain
51,Muscle pain
52,Nasal bleeding
53,Nausea
54,Neck ache or pain
55,Neck swelling
56,Numbness
57,Obesity
58,Painful urination
59,Heart pulsations and palpitations
60,Pelvic pain
61,Penile discharge
62,Rash
63,
64,Scrotal pain
65,Scrotal swelling
66,Seizure
67,Shortness of breath
68,Sinus pain and pressure
69,Sore throat
70,Speech problem
71,Substance abuse (Drug abuse)
72,Swallowing problem (Dysphagia)
73,Toe pain
74,Unsteady gait (Trouble walking)
75,Vaginal bleeding
76,Vaginal discharge
77,Vertigo (Room spinning)
78,Visual problems
79,Vomiting
80,General weakness
81,Weakness (Muscle localized)
82,Tired
83,Wrist pain
84,Throat pain
85,Tremors
86,
87,"Weight loss, unexplained"
88,
89,
90,Inconsolable baby
91,Wheezing (Noisy breathing)
92,Swollen lymph nodes (Large lymph nodes)
93,Failure to thrive
94,
95,
96,Behavioral problem
97,
98,
99,Itchy rash (Pruritic rash)
100,Blood in urine (Hematuria)
101,Urinary retention (Inability to urinate)
102,Liver failure (Cirrhosis)
103,
104,
105,Vomiting coffee ground material
106,Sneezing
107,Bleeding gums
108,Loss of balance
109,Bleeding in brain
110,Cyanosis (Blue skin coloration)
111,Muscle spasm
112,Drooling
113,Abdominal swelling (Stomach swelling)
114,
115,Hand numbness (paresthesias)
116,Ankle pain
117,Hemoptysis (Coughing blood)
118,Jaundice (Yellowing skin)
119,Night sweats
120,Blister (Pocket of fluid)
121,Hair loss (Baldness)
122,Jaw pain
123,Impotence
124,Heart murmur (Abnormal heart sound)
125,Pustule (Collection of pus)
126,Skin pain
127,Foot swelling
128,Visual flashing lights
129,Eye floaters
130,Amenorrhea (No menstruation)
131,Blurry vision
132,
133,Low blood sugar
134,Low blood pressure
135,Darkening of the skin (Hyperpigmentation)
136,Low heart rate
137,Foot itching
138,Hot flashes
139,Infertility (Female)
140,Increased facial hair
141,Calf swelling
142,
143,Wrist swelling
144,
145,
146,Arm itching
147,Hand redness
148,Foot redness
149,Arm redness
150,Leg redness
151,Hand itching
152,Leg itching
153,Upper leg pain
154,Armpit pain
155,Sweating
156,Nasal congestion
157,Joint stiffness
158,Skin sores
159,Chest burning
160,Memory loss
161,Arm numbness (paresthesias)
162,Leg numbness (paresthesias)
163,Foot numbness (paresthesias)
164,Face numbness (paresthesias)
165,
166,Dementia
167,Facial droop (weakness)
168,Increased thirst
169,Increased urination (polyuria)
170,Drooping eyelid (Ptosis)
171,Snoring
172,Dry skin
173,Chest pain
174,Stomach and abdominal pain
175,Hurts to breathe
176,Difficulty breathing
177,Pulling at ears
178,Skin bumps
179,Congestion in chest or lungs
180,Low back ache or pain
181,Unusual color or odor of urine
182,Penis inflammation or swelling
183,Excessive appetite
184,Retaining fluid
185,Lump or mass of breast
186,Neck stiffness or tightness
187,Agitated
188,Confusion
189,Confusion and headache
190,Nipple discharge
191,Shoulder stiffness or tightness
192,High blood pressure
193,High blood sugar
